30 1 0.0000
30 2 0.0000
30 3 0.0000
30 4 0.0000
30 5 0.0000
30 6 0.0000
30 7 0.0000
30 8 0.0000
30 9 0.0000
30 10 0.0000
30 11 0.0000
30 12 0.0000
30 13 0.0000
30 14 0.0000
30 15 0.0000
30 16 0.0000
30 17 0.0000
30 18 0.0000
30 19 0.0000
30 20 0.0000
30 21 0.0000
40 1 0.0000
40 2 0.0600
40 3 0.0800
40 4 0.1000
40 5 0.1200
40 6 0.1800
40 7 0.2200
40 8 0.2400
40 9 0.3800
40 10 0.4400
40 11 0.5800
40 12 0.6200
40 13 0.6400
40 14 0.7400
40 15 0.8200
40 16 0.8400
40 17 0.9800
40 18 1.0000
40 19 1.1000
40 20 1.1800
40 21 1.2400
50 1 0.0000
50 2 0.3333
50 3 0.7059
50 4 0.9608
50 5 1.2941
50 6 1.7059
50 7 1.9412
50 8 2.2549
50 9 2.6078
50 10 2.9020
50 11 3.1569
50 12 3.3725
50 13 3.5490
50 14 3.6471
50 15 4.0392
50 16 4.3922
50 17 4.5686
50 18 4.8235
50 19 5.1961
50 20 5.6078
50 21 5.9020
70 1 0.0000
70 2 0.4706
70 3 1.0784
70 4 1.5686
70 5 2.0980
70 6 2.6078
70 7 3.0000
70 8 3.3725
70 9 3.8627
70 10 4.2157
70 11 4.6275
70 12 5.0392
70 13 5.4314
70 14 5.6863
70 15 6.1569
70 16 6.6667
70 17 7.0000
70 18 7.5098
70 19 8.1569
70 20 8.9608
70 21 9.0000
90 1 0.0000
90 2 0.4510
90 3 1.0588
90 4 1.5294
90 5 2.2941
90 6 2.8627
90 7 3.4314
90 8 3.6863
90 9 4.2157
90 10 4.6275
90 11 4.9804
90 12 5.6863
90 13 5.8431
90 14 6.3333
90 15 6.5882
90 16 7.0588
90 17 7.4118
90 18 8.3922
90 19 8.9412
90 20 9.1373
90 21 9.9216
140 1 0.0000
140 2 0.5484
140 3 1.1935
140 4 1.6774
140 5 2.2903
140 6 3.0000
140 7 3.6774
140 8 4.3548
140 9 5.0645
140 10 5.5806
140 11 6.1613
140 12 6.7419
140 13 7.4516
140 14 8.0000
140 15 8.3871
140 16 9.0000
140 17 9.7097
140 18 10.1613
140 19 11.3226
140 20 11.9355
140 21 12.1613
150 1 0.0000
150 2 0.5484
150 3 1.1935
150 4 1.8065
150 5 2.7419
150 6 3.2258
150 7 3.8065
150 8 4.6129
150 9 5.0645
150 10 5.7097
150 11 6.1935
150 12 6.8710
150 13 7.0968
150 14 7.8710
150 15 8.6129
150 16 9.4839
150 17 9.9032
150 18 10.5484
150 19 11.5806
150 20 12.3871
150 21 13.1290
